trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",25,0,-169.7562478597312,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.25, 'e': 0.25}",20,0,-44.869440974790514,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.1111111111111111}",20,13,10.568028062103169,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.25, 'e': 0.0625}",20,12,15.740381084737288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.25, 'e': 0.04}",25,0,12.85365126256233,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.25, 'e': 0.027777777777777776}",25,13,14.892377347229623,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.02040816326530612}",20,0,24.90090241144756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.015625}",20,0,26.553163917528455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.012345679012345678}",25,0,41.594640758281706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.01}",30,13,34.59088296145488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.25, 'e': 0.008264462809917356}",25,0,35.89754338705657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.25, 'e': 0.006944444444444444}",20,0,27.165115676541003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.005917159763313609}",20,0,28.71134760722788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.00510204081632653}",30,0,38.43041359863006,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.0044444444444444444}",20,0,22.826204626635096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.25, 'e': 0.00390625}",30,0,46.95609508995977,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.25, 'e': 0.0034602076124567475}",20,0,28.350247378433334,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.25, 'e': 0.0030864197530864196}",25,13,21.988147570836965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.002770083102493075}",25,0,35.32865833828541,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.0025}",20,0,28.37211454927953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.25, 'e': 0.0022675736961451248}",30,18,21.416767236825162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
