trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-113.06994788154302,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-141.42633297627054,"{0: 20, 1: 3, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-78.05086532000787,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-150.21588263673598,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-113.18353110034852,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-181.73286652203436,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-137.13059582768287,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-228.55019166332573,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-233.9156243779792,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.03916351818188,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-130.34618625754223,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-136.57253026856193,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-82.85777457782667,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-145.99279940896875,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-97.25377261587478,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-98.06994186569297,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-193.3353284332582,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-132.01581257994482,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-150.57833581496658,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-153.5227001908619,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-171.71692995209878,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-88.43006531615865,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-202.77566695476153,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-17.15233815948318,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-139.83518063420064,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-168.211191166852,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-218.6947106701688,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-112.31267821748348,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-191.7854541938642,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,12,-47.66934011268409,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
