trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-203.59268039186128,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-222.8672230119068,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-131.5647993657965,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-129.05176283636126,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-60.639192583518756,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-225.03748951597453,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-244.34569449554684,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-48.28703952523728,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,2,-32.715846544448304,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-35.89027526831093,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-25.22745776491249,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-63.63782553700542,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,6,14.892051896613465,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,8.055477101083325,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,18,-9.207540788394605,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,6,18.354056243862765,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,4,-0.20043763160778605,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,9.462430108383593,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,12.059810352725698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,8.407518009471833,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-90.38670838797833,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,16,13.605994070862984,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-134.14683380830095,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,16,16.018647467631816,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-53.01977004293406,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,8,33.56699730780047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,8.262515007712691,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,6.933082074866224,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,28.279186838196434,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,21,29.04471802467074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
