trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9}",20,0,-49.65145100054024,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.81}",25,0,-65.07251340399773,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.7290000000000001}",20,8,2.219148100219452,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.25, 'e': 0.6561}",35,0,-108.4477262890191,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.5904900000000001}",25,0,-80.8057918793636,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.531441}",25,0,-45.59970198332291,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.4782969000000001}",20,14,-13.62638319521297,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.25, 'e': 0.4304672100000001}",25,0,-27.117778027629058,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.3874204890000001}",20,8,-36.80575802863043,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.25, 'e': 0.3486784401000001}",30,20,21.406895314566565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.25, 'e': 0.31381059609000006}",20,0,-66.10988101361623,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.25, 'e': 0.2824295364810001}",20,9,-61.64286485662719,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.25, 'e': 0.2541865828329001}",20,4,-58.528205741001194,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.25, 'e': 0.2287679245496101}",20,0,-13.540965633830648,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.20589113209464907}",30,11,9.513265773479437,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.25, 'e': 0.18530201888518416}",20,0,-25.913127086596035,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.16677181699666577}",25,8,21.798036723354812,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.15009463529699918}",20,0,-28.082095424202777,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.13508517176729928}",30,13,-10.130203090754124,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.25, 'e': 0.12157665459056935}",35,0,-3.9445159634106925,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.25, 'e': 0.10941898913151242}",20,5,24.15553257665764,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.25, 'e': 0.09847709021836118}",25,10,27.108977643591878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.25, 'e': 0.08862938119652507}",20,11,7.590552303573242,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.25, 'e': 0.07976644307687256}",20,0,28.307747770566415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.25, 'e': 0.0717897987691853}",25,13,21.534026656494234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.25, 'e': 0.06461081889226677}",25,17,16.504120725875627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.25, 'e': 0.058149737003040096}",20,0,3.329787313847322,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.25, 'e': 0.05233476330273609}",20,0,-5.447842053047347,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.25, 'e': 0.047101286972462485}",20,0,29.51167223910926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.25, 'e': 0.04239115827521624}",30,22,14.536322551991038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.25, 'e': 0.038152042447694615}",25,13,20.707667660378206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.25, 'e': 0.03433683820292515}",25,0,31.988748566566347,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.25, 'e': 0.030903154382632636}",25,15,20.118186309562404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.25, 'e': 0.027812838944369374}",20,13,13.391055397010803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.25, 'e': 0.025031555049932437}",20,6,7.395177978224391,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.25, 'e': 0.022528399544939195}",30,19,10.216453701512433,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.25, 'e': 0.020275559590445275}",20,0,29.916469821260257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.25, 'e': 0.01824800363140075}",20,13,12.667344217079872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.25, 'e': 0.016423203268260675}",20,12,12.136832027374153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.25, 'e': 0.014780882941434608}",25,13,17.92888197396193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.25, 'e': 0.013302794647291147}",25,14,19.95406125321183,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.25, 'e': 0.011972515182562033}",30,13,25.485269071479163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.25, 'e': 0.01077526366430583}",20,0,30.245698574445008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.25, 'e': 0.009697737297875247}",25,10,21.667966027046067,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.25, 'e': 0.008727963568087723}",20,3,25.78869253197053,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.25, 'e': 0.00785516721127895}",25,15,21.003279217979625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.25, 'e': 0.007069650490151055}",20,10,18.490613264967592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.25, 'e': 0.00636268544113595}",25,7,22.474412188761146,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.25, 'e': 0.0057264168970223555}",20,8,20.30198870495071,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.25, 'e': 0.00515377520732012}",20,3,22.362743237370093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.25, 'e': 0.004638397686588108}",20,15,9.829027218207084,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.25, 'e': 0.004174557917929297}",20,6,28.606705252489096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.25, 'e': 0.0037571021261363674}",20,13,12.532730024735427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.25, 'e': 0.003381391913522731}",20,4,25.01169186083911,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.25, 'e': 0.0030432527221704577}",20,12,16.99456768272063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.25, 'e': 0.002738927449953412}",20,6,5.371207978948753,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.25, 'e': 0.002465034704958071}",25,11,28.015660355763053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.25, 'e': 0.002218531234462264}",25,11,24.426092923580352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.25, 'e': 0.0019966781110160375}",30,0,40.800595875710584,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.25, 'e': 0.001797010299914434}",30,15,30.88005090145322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.25, 'e': 0.0016173092699229906}",25,11,19.69366851783955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.25, 'e': 0.0014555783429306916}",25,13,22.459400522729094,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.25, 'e': 0.0013100205086376223}",25,16,15.7670639563973,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.25, 'e': 0.0011790184577738603}",20,15,9.435248971405143,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.25, 'e': 0.0010611166119964743}",20,11,13.103030149170314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.25, 'e': 0.0009550049507968268}",25,13,23.452269899036885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,24.334196218084962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,16.68342599151308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,19.976769622607367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,24.85726044178194,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,15,29.373039424301574,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,15.549416223049839,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,23.354487964081436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,41.5612034621694,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,23.89796976884525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,16.037077439423108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
