trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.052092610146723,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.36728891764388,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.34439079990358,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.49666665804682,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-100.17760349901837,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.61133262296272,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.11694750263302,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-298.60075572359597,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-289.4194942459258,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,6,-37.19502263876999,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.121555598530406,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-72.54553027611391,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.21605450000214,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.60956431494404,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.54849832348738,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.93821950027365,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.16286646764452,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.60924192916792,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.90305788032458,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,13,-46.05397667785863,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 1.0}",30,10,-5.266220609850447,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.05452605101607,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.00760740326473,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.87168703940806,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.72890702107334,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.3958807146459,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.48633423572348,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.7554442765197331,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
